tree_id,human_decision,human_note,human_pom_m,human_diameter_cm,included_by_reviewer,learned_keep_score,prediction_source,suggestion,measurement_status,measurement_diameter_cm,measurement_pom_m,suggested_pom_m,diagnostic_diameter_cm,diagnostic_failures,refit_url,field_verified,eligible_for_automatic_biomass
TREE_0001,REJECT,,,,False,0.044626,SPATIALLY_HELD_OUT,REJECT,MANUAL_REVIEW,,,,,[],,False,False
TREE_0002,REJECT,,,,False,0.060102,SPATIALLY_HELD_OUT,REJECT,MANUAL_REVIEW,,,,,[],,False,False
TREE_0003,REJECT,,,,False,0.014164,SPATIALLY_HELD_OUT,REJECT,MANUAL_REVIEW,,,,,[],,False,False
TREE_0004,KEEP,,,,True,0.913175,SPATIALLY_HELD_OUT,KEEP,MANUAL_REVIEW,,,1.9,7.418933,"[""AXIS_NOT_BRACKETED_BY_OBSERVATIONS"", ""NOT_TESTED_GEOMETRY_OR_AXIS_GROUND_FAILED""]",,False,False
TREE_0005,REJECT,,,,False,0.031221,SPATIALLY_HELD_OUT,REJECT,MANUAL_REVIEW,,,,,[],,False,False
TREE_0006,REJECT,,,,False,0.089156,SPATIALLY_HELD_OUT,REJECT,MANUAL_REVIEW,,,,,[],,False,False
TREE_0007,REJECT,,,,False,0.03637,SPATIALLY_HELD_OUT,REJECT,MANUAL_REVIEW,,,,,[],,False,False
TREE_0008,KEEP,,,,True,0.716415,SPATIALLY_HELD_OUT,KEEP,MANUAL_REVIEW,,,1.9,8.1269288,"[""AXIS_NOT_BRACKETED_BY_OBSERVATIONS"", ""INDEPENDENT_ELLIPSE_DISAGREES"", ""NOT_TESTED_GEOMETRY_OR_AXIS_GROUND_FAILED""]",,False,False
TREE_0009,EDIT,ตรงนี้มันราก จงเลื่อนขึ้นรไปข้างบน สูงขึ้นสัก 2.5 เมตร,2.5,,True,0.633449,UNLABELLED_FOR_BINARY_MODEL,KEEP,MANUAL_REVIEW,,,2.5,40.5364787,"[""AXIS_NOT_BRACKETED_BY_OBSERVATIONS"", ""COMPETING_OR_DISCONTINUOUS_STEM_CENTERS"", ""CONNECTED_STEM_RADIUS_UNSTABLE"", ""FIT_MOVED_FROM_STEM_HYPOTHESIS"", ""INCOMPLETE_ANGULAR_SUPPORT"", ""INDEPENDENT_ELLIPSE_DISAGREES"", ""LARGE_UNOBSERVED_SECTOR"", ""MIXED_OR_NONCIRCULAR_SECTION"", ""OPERATIONAL_RADIUS_GUARDRAIL"", ""STABILITY_NOT_TESTED""]",data/learning/refits/TREE_0009.json,False,False
TREE_0010,KEEP,,,,True,0.876788,SPATIALLY_HELD_OUT,KEEP,MANUAL_REVIEW,,,2.6,11.5379701,"[""SENSITIVITY_VARIANT_FAILS_GEOMETRY""]",,False,False
TREE_0011,KEEP,,,,True,0.803164,SPATIALLY_HELD_OUT,KEEP,MANUAL_REVIEW,,,1.9,8.1259544,"[""AXIS_NOT_BRACKETED_BY_OBSERVATIONS"", ""INDEPENDENT_ELLIPSE_DISAGREES"", ""NOT_TESTED_GEOMETRY_OR_AXIS_GROUND_FAILED""]",,False,False
TREE_0012,REJECT,,,,False,0.031965,SPATIALLY_HELD_OUT,REJECT,MANUAL_REVIEW,,,,,[],,False,False
TREE_0013,REJECT,,,,False,0.528796,SPATIALLY_HELD_OUT,KEEP,MANUAL_REVIEW,,,,,[],,False,False
TREE_0014,KEEP,เอาต้นนี้นะ แล้ววัดมาด้วยดิ มันวัด dbh ได้,,,True,0.818606,SPATIALLY_HELD_OUT,KEEP,MANUAL_REVIEW,,,1.3,7.5014551,"[""HIGH_RELATIVE_RESIDUAL"", ""INDEPENDENT_ELLIPSE_DISAGREES"", ""MIXED_OR_NONCIRCULAR_SECTION"", ""STABILITY_NOT_TESTED"", ""TREE_DETECTION_UNCERTAIN""]",data/learning/refits/TREE_0014.json,False,False
TREE_0015,REJECT,,,,False,0.019316,SPATIALLY_HELD_OUT,REJECT,MANUAL_REVIEW,,,,,[],,False,False
TREE_0016,REJECT,,,,False,0.056879,SPATIALLY_HELD_OUT,REJECT,MANUAL_REVIEW,,,,,[],,False,False
TREE_0017,KEEP,,,,True,0.83851,SPATIALLY_HELD_OUT,KEEP,MANUAL_REVIEW,,,2.6,15.268817,"[""CONNECTED_STEM_RADIUS_UNSTABLE"", ""INDEPENDENT_ELLIPSE_DISAGREES"", ""MIXED_OR_NONCIRCULAR_SECTION"", ""NOT_TESTED_GEOMETRY_OR_AXIS_GROUND_FAILED""]",,False,False
TREE_0018,KEEP,,,,True,0.894341,SPATIALLY_HELD_OUT,KEEP,MANUAL_REVIEW,,,3.5,17.3756034,"[""GROUND_SPATIALLY_UNSTABLE"", ""MIXED_OR_NONCIRCULAR_SECTION"", ""NOT_TESTED_GEOMETRY_OR_AXIS_GROUND_FAILED""]",,False,False
TREE_0019,REJECT,,,,False,0.03617,SPATIALLY_HELD_OUT,REJECT,MANUAL_REVIEW,,,,,[],,False,False
TREE_0020,REJECT,,,,False,0.035952,SPATIALLY_HELD_OUT,REJECT,MANUAL_REVIEW,,,,,[],,False,False
TREE_0021,REJECT,,,,False,0.14719,SPATIALLY_HELD_OUT,REJECT,MANUAL_REVIEW,,,,,[],,False,False
TREE_0022,KEEP,,,,True,0.809311,SPATIALLY_HELD_OUT,KEEP,MANUAL_REVIEW,,,1.8,7.9215119,"[""AXIS_CENTERS_INCONSISTENT"", ""CONNECTED_STEM_RADIUS_UNSTABLE"", ""INDEPENDENT_ELLIPSE_DISAGREES"", ""NOT_TESTED_GEOMETRY_OR_AXIS_GROUND_FAILED""]",,False,False
TREE_0023,KEEP,,,,True,0.461363,SPATIALLY_HELD_OUT,REJECT,MANUAL_REVIEW,,,1.5,6.6351306,"[""AXIS_CENTERS_INCONSISTENT"", ""CONTINUITY_REQUIRES_THREE_LEVELS"", ""NOT_TESTED_GEOMETRY_OR_AXIS_GROUND_FAILED""]",,False,False
TREE_0024,REJECT,,,,False,0.08638,SPATIALLY_HELD_OUT,REJECT,MANUAL_REVIEW,,,,,[],,False,False
TREE_0025,REJECT,,,,False,0.051906,SPATIALLY_HELD_OUT,REJECT,MANUAL_REVIEW,,,,,[],,False,False
TREE_0026,KEEP,,,,True,0.880058,SPATIALLY_HELD_OUT,KEEP,MANUAL_REVIEW,,,2.8,10.2505432,"[""CONTINUITY_REQUIRES_THREE_LEVELS"", ""GROUND_SPATIALLY_UNSTABLE"", ""INDEPENDENT_ELLIPSE_DISAGREES"", ""MIXED_OR_NONCIRCULAR_SECTION"", ""NOT_TESTED_GEOMETRY_OR_AXIS_GROUND_FAILED""]",,False,False
TREE_0027,KEEP,,,,True,0.601,SPATIALLY_HELD_OUT,KEEP,MANUAL_REVIEW,,,2.0,21.6221373,"[""AXIS_CENTERS_INCONSISTENT"", ""GROUND_SPATIALLY_UNSTABLE"", ""INDEPENDENT_ELLIPSE_DISAGREES"", ""MIXED_OR_NONCIRCULAR_SECTION"", ""NOT_TESTED_GEOMETRY_OR_AXIS_GROUND_FAILED"", ""TREE_DETECTION_UNCERTAIN""]",,False,False
TREE_0028,KEEP,,,,True,0.860138,SPATIALLY_HELD_OUT,KEEP,MANUAL_REVIEW,,,2.3,10.0523719,"[""INCOMPLETE_ANGULAR_SUPPORT"", ""INDEPENDENT_ELLIPSE_DISAGREES"", ""LARGE_UNOBSERVED_SECTOR"", ""NOT_TESTED_GEOMETRY_OR_AXIS_GROUND_FAILED""]",,False,False
TREE_0029,KEEP,,,,True,0.871049,SPATIALLY_HELD_OUT,KEEP,MANUAL_REVIEW,,,3.0,17.0974417,"[""CONNECTED_STEM_RADIUS_UNSTABLE"", ""MIXED_OR_NONCIRCULAR_SECTION"", ""NOT_TESTED_GEOMETRY_OR_AXIS_GROUND_FAILED"", ""TREE_DETECTION_UNCERTAIN""]",,False,False
TREE_0030,KEEP,,,,True,0.919252,SPATIALLY_HELD_OUT,KEEP,MANUAL_REVIEW,,,2.0,17.2640547,"[""AXIS_NOT_BRACKETED_BY_OBSERVATIONS"", ""GROUND_SPATIALLY_UNSTABLE"", ""NOT_TESTED_GEOMETRY_OR_AXIS_GROUND_FAILED""]",,False,False
TREE_0031,KEEP,,,,True,0.864798,SPATIALLY_HELD_OUT,KEEP,MANUAL_REVIEW,,,2.1,8.890644,"[""AXIS_CENTERS_INCONSISTENT"", ""CONTINUITY_REQUIRES_THREE_LEVELS"", ""INDEPENDENT_ELLIPSE_DISAGREES"", ""NOT_TESTED_GEOMETRY_OR_AXIS_GROUND_FAILED""]",,False,False
TREE_0032,EDIT,มันก็ไม่ได้มีรากนี่หว่า ทำซะสูงเลย,1.5,,True,0.980159,UNLABELLED_FOR_BINARY_MODEL,KEEP,MANUAL_REVIEW,,,1.5,,"[""AXIS_CENTERS_INCONSISTENT"", ""AXIS_IDENTITY_SHIFT"", ""AXIS_MODEL_DISAGREEMENT"", ""CONTINUITY_REQUIRES_THREE_LEVELS"", ""NO_STABLE_CIRCLE"", ""STABILITY_NOT_TESTED""]",data/learning/refits/TREE_0032.json,False,False
TREE_0033,KEEP,,,,True,0.813951,SPATIALLY_HELD_OUT,KEEP,MANUAL_REVIEW,,,2.6,15.5730782,"[""GROUND_SPATIALLY_UNSTABLE"", ""INDEPENDENT_ELLIPSE_DISAGREES"", ""MIXED_OR_NONCIRCULAR_SECTION"", ""NOT_TESTED_GEOMETRY_OR_AXIS_GROUND_FAILED""]",,False,False
TREE_0034,REJECT,,,,False,0.101122,SPATIALLY_HELD_OUT,REJECT,MANUAL_REVIEW,,,,,[],,False,False
TREE_0035,KEEP,,,,True,0.932987,SPATIALLY_HELD_OUT,KEEP,MANUAL_REVIEW,,,2.5,15.948929,"[""INCOMPLETE_ANGULAR_SUPPORT"", ""LARGE_UNOBSERVED_SECTOR"", ""NOT_TESTED_GEOMETRY_OR_AXIS_GROUND_FAILED""]",,False,False
TREE_0036,REJECT,,,,False,0.026769,SPATIALLY_HELD_OUT,REJECT,MANUAL_REVIEW,,,,,[],,False,False
TREE_0037,KEEP,,1.3,7.2197471,True,0.973022,SPATIALLY_HELD_OUT,KEEP,STANDARD_DBH,7.2197471,1.3,1.3,7.2197471,[],,False,False
