tree_id,decision,pom_m,diameter_cm,note,source_status,source_algorithm,updated_at
TREE_0001,REJECT,,,,MANUAL_REVIEW,experimental,2026-09-09T06:13:48.889000+00:00
TREE_0002,REJECT,,,,MANUAL_REVIEW,experimental,2026-09-09T06:14:23.689000+00:00
TREE_0003,REJECT,,,,MANUAL_REVIEW,experimental,2026-09-09T06:14:38.737000+00:00
TREE_0004,KEEP,,,,MANUAL_REVIEW,experimental,2026-09-09T06:14:57.129000+00:00
TREE_0005,REJECT,,,,MANUAL_REVIEW,experimental,2026-09-09T06:15:16.913000+00:00
TREE_0006,REJECT,,,,MANUAL_REVIEW,experimental,2026-09-09T06:15:28.625000+00:00
TREE_0007,REJECT,,,,MANUAL_REVIEW,experimental,2026-09-09T06:15:42.985000+00:00
TREE_0008,KEEP,,,,MANUAL_REVIEW,experimental,2026-09-09T06:16:23.705000+00:00
TREE_0009,EDIT,2.5,,ตรงนี้มันราก จงเลื่อนขึ้นรไปข้างบน สูงขึ้นสัก 2.5 เมตร,MANUAL_REVIEW,experimental,2026-09-09T06:17:44.452000+00:00
TREE_0010,KEEP,,,,MANUAL_REVIEW,experimental,2026-09-09T06:18:09.009000+00:00
TREE_0011,KEEP,,,,MANUAL_REVIEW,experimental,2026-09-09T06:18:33.794000+00:00
TREE_0012,REJECT,,,,MANUAL_REVIEW,experimental,2026-09-09T06:21:57.786000+00:00
TREE_0013,REJECT,,,,MANUAL_REVIEW,experimental,2026-09-09T06:22:20.867000+00:00
TREE_0014,KEEP,,,เอาต้นนี้นะ แล้ววัดมาด้วยดิ มันวัด dbh ได้,MANUAL_REVIEW,experimental,2026-09-09T06:23:24.338000+00:00
TREE_0015,REJECT,,,,MANUAL_REVIEW,experimental,2026-09-09T06:23:38.745000+00:00
TREE_0016,REJECT,,,,MANUAL_REVIEW,experimental,2026-09-09T06:23:48.713000+00:00
TREE_0017,KEEP,,,,MANUAL_REVIEW,experimental,2026-09-09T06:24:06.417000+00:00
TREE_0018,KEEP,,,,MANUAL_REVIEW,experimental,2026-09-09T06:24:17.641000+00:00
TREE_0019,REJECT,,,,MANUAL_REVIEW,experimental,2026-09-09T06:24:35.082000+00:00
TREE_0020,REJECT,,,,MANUAL_REVIEW,experimental,2026-09-09T06:24:58.065000+00:00
TREE_0021,REJECT,,,,MANUAL_REVIEW,experimental,2026-09-09T06:25:06.905000+00:00
TREE_0022,KEEP,,,,MANUAL_REVIEW,experimental,2026-09-09T06:25:18.761000+00:00
TREE_0023,KEEP,,,,MANUAL_REVIEW,experimental,2026-09-09T06:25:35.113000+00:00
TREE_0024,REJECT,,,,MANUAL_REVIEW,experimental,2026-09-09T07:52:12.244000+00:00
TREE_0025,REJECT,,,,MANUAL_REVIEW,experimental,2026-09-09T07:52:30.164000+00:00
TREE_0026,KEEP,,,,MANUAL_REVIEW,experimental,2026-09-09T07:53:22.955000+00:00
TREE_0027,KEEP,,,,MANUAL_REVIEW,experimental,2026-09-09T07:55:42.572000+00:00
TREE_0028,KEEP,,,,MANUAL_REVIEW,experimental,2026-09-09T07:55:55.812000+00:00
